SMILES,Title,Rationale1,Rationale2,Core1,Core2,SA,QED,Weight,LogP,TPSA,HBA,HBD,RotBond,Filtered,6Y9S_SP,4WHZ_SP,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
O=c1ccc2ncccc2n1CC(Nc1scc(Br)c1-c1ncn[nH]1)c1cccc(Cl)c1,AIxFuse|_C25_A5S0_R0|_C20_A4S34_R0,Clc1ccccc1,O=c1ccc2ncccc2n1CCNc1scc(Br)c1-c1ncn[nH]1,Clc1ccccc1,Brc1cscc1-c1ncn[nH]1,3.4802082376329135,0.3038306045786735,527.8350000000002,5.512400000000003,88.49000000000001,7,2,6,True,-7.82151341071814,-6.38237418129242,111167,0.5185472262207951,784823,0.5043389955686854,0.20202020202020202,0.10569105691056911
CCNc1nccc(-c2ccc(NC(=O)c3cccc(NC(=O)CC)c3)cc2)n1,AIxFuse|_C11_A5S0_R8|_C0_A4S0_R6,CCNc1ncccn1,CCC(=O)Nc1cccc(C(=O)Nc2ccccc2)c1,Nc1ncccn1,Nc1ccccc1,2.0343598242089005,0.5633960670351713,389.4590000000001,4.176200000000002,96.01,5,3,7,True,-7.21261030504422,-8.79912924118836,CHEMBL2048662,0.6064630367419213,CHEMBL4551217,0.594421101774043,0.2111111111111111,0.12359550561797752
COc1cccc(C=NNc2ccc(Nc3ncc4ccccc4n3)cc2)c1,AIxFuse|_C2_A6S140_R0|_C24_A0S0_R0,COc1cccc(C=NN)c1,c1ccc(Nc2ncc3ccccc3n2)cc1,COc1ccccc1,c1ccc(Nc2ncc3ccccc3n2)cc1,2.1332896577303178,0.37626014093661075,369.42800000000005,4.828000000000002,71.43,6,2,6,False,-8.02233580924529,-8.75280361364551,CHEMBL3735621,0.6221289495161478,CHEMBL1771710,0.5868490631107024,0.2,0.16470588235294117
O=C(Nc1c[nH]n(-c2csc(C(=O)NCC3CCN(c4cccc5occc45)CC3)c2)c1)Nc1ccccc1Cl,AIxFuse|_C19_A8S0_R1|_C26_A5S65_R0,c1ccc2occc2c1,O=C(Nc1c[nH]n(-c2csc(C(=O)NCC3CCNCC3)c2)c1)Nc1ccccc1Cl,c1ccc2occc2c1,O=C(Nc1cn[nH]c1)Nc1ccccc1Cl,,,,,,,,,,,,,,,,,
NC(=O)c1cccc(-n2ncc3c(N)ncnc32)c1,AIxFuse|_C32_A6S0_R4|_C2_A7S0_R0,Nc1ncnc2[nH]ncc12,NC(=O)c1ccccc1,c1ncc2cn[nH]c2n1,NC(=O)c1ccccc1,2.209415610191183,0.6908406231973239,254.253,0.4965999999999994,112.71000000000001,6,2,2,True,-8.20867954485526,-8.88095273300729,CHEMBL1738951,0.6582173280698109,CHEMBL1784666,0.685818847209515,0.109375,0.09375
COc1ccc(Oc2cc(Nc3ccc(F)cc3C(=O)c3cccc(Cl)c3)c(C(F)(F)F)cn2)cc1OCC(C)O,AIxFuse|_C25_A5S0_R0|_C4_A5S53_R4,Clc1ccccc1,COc1ccc(Oc2cc(Nc3ccc(F)cc3C=O)c(C(F)(F)F)cn2)cc1OCC(C)O,Clc1ccccc1,COc1ccccc1,3.2000658977211245,0.14661464376927633,590.9570000000001,7.428000000000006,89.91000000000001,7,2,10,False,-7.22401095546278,-7.89077393196371,CHEMBL1957958,0.4628548580567773,CHEMBL1923212,0.4711469534050179,0.10655737704918032,0.4819277108433735
COc1cccc(-c2nccc(-n3c(CC#N)cnc3-c3ccc(F)c(C(F)(F)F)c3)n2)c1,AIxFuse|_C2_A6S0_R0|_C34_A7S1_R3,COc1ccccc1,N#CCc1cnc(-c2ccc(F)c(C(F)(F)F)c2)n1-c1ccncn1,COc1ccccc1,N#CCc1cnc[nH]1,2.835852956068095,0.3870141555879715,453.3990000000001,5.228880000000003,76.62,6,0,5,True,-7.18300093367289,-7.12351361494525,CHEMBL1081617,0.5311379928315412,CHEMBL1568840,0.5300045808520385,0.2441860465116279,0.1326530612244898
NC(=O)Cc1ccccc1Nc1n[nH]c2ncc(F)cc12,AIxFuse|_C44_A0S0_R0|_C6_A6S0_R9,Nc1n[nH]c2ncc(F)cc12,NC(=O)Cc1ccccc1,Nc1n[nH]c2ncc(F)cc12,Cc1ccccc1,2.4743813127398617,0.6813652062087538,285.28200000000004,1.8683999999999996,96.69000000000001,4,3,4,True,-9.06378911172116,-9.02267855385855,CHEMBL3652541,0.5932604197457878,CHEMBL3577865,0.5217975515079127,0.3880597014925373,0.12987012987012986
O=C(Nc1c[nH]nc1C(=O)NC1CCC(c2cccc3ncccc23)CC1)C1CCOCC1,AIxFuse|_C47_A0S2_R1|_C28_A9S0_R0,O=C(Nc1c[nH]nc1C(=O)NC1CC[CH]CC1)C1CCOCC1,c1ccc2ncccc2c1,NC(=O)c1cc[nH]n1,c1ccc2ncccc2c1,2.8145641223211957,0.551527759520713,447.5390000000003,3.779200000000002,109.0,5,3,5,True,-7.18330528351069,-8.35902877480083,CHEMBL3828150,0.45212542087542085,CHEMBL3220490,0.5707630878438332,0.11458333333333333,0.13636363636363635
CC(=O)N1CCCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4OCOC4CCC(c5cc(N)n[nH]5)C4)c3)ccn2)C1,AIxFuse|_C20_A7S9_R10|_C7_A0S88_R10,Nc1cc(C2CCC(O)C2)[nH]n1,COc1ccccc1Nc1cc(-c2ccnc(NC(=O)C3CCCN(C(C)=O)C3)c2)ccn1,Nc1cc(C2CCCC2)[nH]n1,Nc1ccccn1,4.054289630817315,0.17958615391642616,610.7190000000002,5.078700000000004,160.38,9,4,10,False,-9.96989119751037,-9.06377997049751,13923,0.49740063726312256,784815,0.3735222735457606,0.16071428571428573,0.12295081967213115
