SMILES,Title,Rationale,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
C=CN1C=CC(N2CCC(Nc3nccc(-c4c[nH]c5ncccc45)n3)CC2)C1,RationaleRL_0,c1cnc2[nH]cc(-c3ccnc(NC4CCN([CH3:1])CC4)n3)c2c1,-9.28207229704091,-8.65186208599615,387.4910000000002,3.2376000000000014,3.731161015696398,0.700251040550107,72.97,6,2,5,True,CHEMBL3093049,0.5689978731389966,CHEMBL2425655,0.7057091653865848,0.13043478260869565,0.2441860465116279
CCc1ccc(O)c2c(-c3ccnc(NC4CCN(C(C)=O)CC4)n3)c[nH]c12,RationaleRL_1,O=[CH:1]N1CCC(Nc2nccc(-c3c[nH]c4c3c(O)cc[cH:2]4)n2)CC1,-8.36353678173583,-8.4304685748292,379.46400000000017,3.3157000000000014,2.731773121585741,0.646474608066347,94.14000000000001,5,3,4,True,CHEMBL4546384,0.5846715328467154,CHEMBL245533,0.6478787137791906,0.13978494623655913,0.3902439024390244
NC(C=CCCO)Oc1cc(F)cc(-c2ccnc(Nc3ccccc3)n2)c1,RationaleRL_2,Fc1cc(-c2ccnc(Nc3ccccc3)n2)cc([OH:1])c1,-10.4996917350658,-10.6296863965066,380.42300000000006,3.6285000000000016,3.143344803616209,0.40816839135582644,93.29,6,3,8,True,CHEMBL1092134,0.6404092071611254,CHEMBL1644624,0.6805326569435637,0.1951219512195122,0.24390243902439024
Cc1ccc(O)c2c(-c3ccnc(NC4CCN(C(=O)C5=CO5)CC4)n3)c[nH]c12,RationaleRL_3,O=[CH:2]N1CCC(Nc2nccc(-c3c[nH]c4c3c(O)cc[cH:1]4)n2)CC1,-7.72728826962193,-8.65003090936801,391.43100000000015,2.9134200000000003,2.9535325767575564,0.6313411317851797,106.67000000000002,6,3,4,True,CHEMBL1824333,0.5686274509803921,CHEMBL245533,0.6591297971156196,0.10101010101010101,0.3563218390804598
Cc1cc2[nH]cc(-c3ccnc(NC4CCN(C5=C=C5)CC4)n3)c2cc1Br,RationaleRL_4,Brc1cc2c(-c3ccnc(NC4CCN([CH3:2])CC4)n3)c[nH]c2c[cH:1]1,-7.64161598340233,-8.36408120404752,422.3300000000001,4.6247200000000035,3.1511833582877253,0.6026549123067929,56.84,4,2,4,True,CHEMBL255948,0.6068273092369478,CHEMBL4851793,0.6005707904206476,0.24050632911392406,0.11458333333333333
C=C1OC(=O)C1Nc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1,RationaleRL_5,c1ccc(Nc2nccc(-c3ccc([NH2:1])cc3)n2)cc1,-7.39411960869091,-8.1058222403792,344.374,3.7382000000000017,2.935750374148201,0.686863061044234,76.14,6,2,5,True,CHEMBL4074586,0.6475826972010178,CHEMBL4744126,0.6229363579080025,0.15555555555555556,0.10989010989010989
C1=CSc2cc(Nc3nccc(-c4ccccc4)n3)ccc2S1,RationaleRL_6,c1ccc(-c2ccnc(Nc3ccc([SH:1])c([SH:2])c3)n2)cc1,-8.57304600959714,-8.53436253182789,335.45700000000005,5.556200000000003,2.652834087355105,0.6784186533332741,37.81,5,1,3,True,CHEMBL255735,0.6654061624649861,CHEMBL383177,0.720585893965929,0.24285714285714285,0.3018867924528302
CC1=NC(N2CCC(Nc3nccc(-c4c[nH]c5cc(Br)cc(C)c45)n3)CC2)O1,RationaleRL_7,Brc1cc2[nH]cc(-c3ccnc(NC4CCN([CH2:2][NH2:3])CC4)n3)c2[cH:1]c1,-7.90033032164163,-6.47644058000915,455.36000000000024,4.304320000000002,3.5313073807631055,0.613466987758863,78.42999999999999,6,2,4,True,CHEMBL3736396,0.5953199512032827,CHEMBL245533,0.6059272979856448,0.16161616161616163,0.3068181818181818
COc1cc(-c2ccnc(Nc3ccccc3)n2)cc(N2CC=NC2)c1,RationaleRL_8,c1ccc(Nc2nccc(-c3cc([OH:1])cc([NH2:2])c3)n2)cc1,-9.08840972080183,-7.53173156554534,345.4060000000002,3.7441000000000013,2.6576948241289937,0.7630356442190279,62.64,6,1,5,True,50230999,0.7474676420934159,CHEMBL1771660,0.693745506829619,0.36764705882352944,0.2676056338028169
C1=C=C(Oc2cccc(-c3ccnc(Nc4ccccc4)n3)c2)CC=1,RationaleRL_9,c1ccc(Nc2nccc(-c3cccc([OH:1])c3)n2)cc1,-9.37871252872798,-9.87310857869196,325.3710000000001,4.863800000000003,3.0558616977151036,0.6802979940995865,47.04,4,1,5,True,CHEMBL256518,0.665188809050604,CHEMBL205561,0.6951170025699986,0.265625,0.21311475409836064
C=C1OC(N2CCC(Nc3nccc(-c4c[nH]c5cc(C)c(Br)cc45)n3)CC2)O1,RationaleRL_10,Brc1cc2c(-c3ccnc(NC4CCN([CH2:2][OH:1])CC4)n3)c[nH]c2c[cH:3]1,-7.66382545622908,-6.13615402050522,456.3440000000002,4.373720000000002,3.1207173774989823,0.6074653328746894,75.3,6,2,4,True,CHEMBL3735755,0.6058212996389891,CHEMBL250409,0.5004122011541632,0.17525773195876287,0.14432989690721648
C1=C(N2CCC(Nc3nccc(-c4c[nH]c5ncccc45)n3)CC2)CO1,RationaleRL_11,c1cnc2[nH]cc(-c3ccnc(NC4CC[NH:1]CC4)n3)c2c1,-8.75365002724163,-8.9344916205909,348.4100000000002,2.767800000000001,2.9128218970560678,0.7547420488327342,78.96000000000001,6,2,4,True,13891,0.7962396152164408,CHEMBL2425655,0.7077340569877884,0.2375,0.25316455696202533
CCOc1cccc(-c2ccnc(Nc3ccc(S(=O)CC)cc3)n2)c1,RationaleRL_12,c1cc(-c2ccnc(Nc3ccc([SH:2])cc3)n2)cc([OH:1])c1,-9.01856832397531,-9.44726846722042,367.4740000000001,4.413400000000003,2.7558605603830184,0.6698652237329084,64.11,5,1,7,True,13920,0.7023325196636832,CHEMBL3100083,0.6407990779869381,0.28378378378378377,0.1728395061728395
C=C1C=CCC1c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,RationaleRL_13,c1ccc(-c2ccnc(Nc3ccc([CH3:1])cc3)n2)cc1,-7.0698429605868,-8.26032354400519,325.415,5.486900000000004,2.880213350755044,0.6892818356337944,37.81,3,1,4,True,CHEMBL573266,0.6606673127509345,CHEMBL3100083,0.5858003332051775,0.05,0.21052631578947367
C=CSc1cccc(Nc2nccc(-c3ccccc3)n2)c1,RationaleRL_14,c1ccc(-c2ccnc(Nc3cccc([SH:1])c3)n2)cc1,-8.96065526415031,-7.15916602448753,305.406,5.122800000000003,2.2830712861808404,0.6636520767274533,37.81,4,1,5,True,13919,0.6756874095513747,CHEMBL248833,0.653061224489796,0.32857142857142857,0.17142857142857143
CCN1CCC(Nc2nccc(-c3c[nH]c4cc(Br)c(C)cc34)n2)CC1,RationaleRL_15,Brc1cc2[nH]cc(-c3ccnc(NC4CC[NH:2]CC4)n3)c2c[cH:1]1,-8.09577628544361,-7.60625121861704,414.3510000000002,4.592020000000003,2.553286720232892,0.6557727166618965,56.84,4,2,4,True,CHEMBL188938,0.6530805687203791,CHEMBL4851793,0.6119552932311942,0.18823529411764706,0.10416666666666667
C1=CC(N2CCC(Nc3nccc(-c4c[nH]c5ncccc45)n3)CC2)C=1,RationaleRL_16,c1cnc2[nH]cc(-c3ccnc(NC4CC[NH:1]CC4)n3)c2c1,-9.42042025894053,-9.03008991231535,344.42200000000014,2.989700000000001,3.21244007887425,0.7122240855195388,69.73,5,2,4,True,CHEMBL1081616,0.5985488126649077,CHEMBL2425655,0.686750199946681,0.09090909090909091,0.25316455696202533
Cc1cc(O)c2c(-c3ccnc(NC4CCN(C5CCC5)CC4)n3)c[nH]c2c1,RationaleRL_17,Oc1c[cH:1]cc2[nH]cc(-c3ccnc(NC4CCN([CH2:2][CH3:3])CC4)n3)c12,-7.30651471804038,-7.44779460182915,377.4920000000002,4.067720000000003,2.6856007070558263,0.6389079665316374,77.07000000000001,5,3,4,True,CHEMBL67799,0.6237746618687182,696081,0.5210754158122579,0.08,0.12745098039215685
Oc1cc(F)cc2[nH]cc(-c3ccnc(NC4CCN(C5=CCC5)CC4)n3)c12,RationaleRL_18,Oc1c[cH:1]cc2[nH]cc(-c3ccnc(NC4CCN([CH2:2][CH3:3])CC4)n3)c12,-7.68221528606534,-8.67019174030206,379.43900000000025,4.023600000000003,2.9439545532096716,0.6381590337151672,77.07,5,3,4,True,CHEMBL1086732,0.6225609756097561,CHEMBL245533,0.7041088919984735,0.08433734939759036,0.25555555555555554
c1ccc(Nc2nccc(-c3cccc(Oc4ccoc4)c3)n2)cc1,RationaleRL_19,c1ccc(Nc2nccc(-c3cccc([OH:1])c3)n2)cc1,-9.25945899570242,-9.834742450811,329.35900000000004,5.2725000000000035,2.2653552361766423,0.540090416389689,60.18000000000001,5,1,5,True,50230999,0.6952807730009802,CHEMBL203289,0.7846042120551925,0.41935483870967744,0.24561403508771928
C1=COCN(c2ccc(-c3ccnc(Nc4ccccc4)n3)cc2)C1,RationaleRL_20,c1ccc(Nc2nccc(-c3ccc([NH2:1])cc3)n2)cc1,-7.21912625254681,-7.79523113126387,330.3910000000001,4.195000000000003,2.5581072361766424,0.7769647238109904,50.28,5,1,4,True,CHEMBL4077048,0.639590620546703,CHEMBL203535,0.6498448252597491,0.18518518518518517,0.2571428571428571
Cc1cc2[nH]cc(-c3ccnc(NC4CCN(C5C=CO5)CC4)n3)c2cc1Br,RationaleRL_21,Brc1cc2c(-c3ccnc(NC4CCN([CH2:1][OH:2])CC4)n3)c[nH]c2c[cH:3]1,-7.99984542302067,-7.27605108845575,440.34500000000014,4.442120000000003,3.4847653164367216,0.628130183883806,66.07000000000001,5,2,4,True,CHEMBL4641082,0.626534407935524,CHEMBL1822309,0.523239512563356,0.1956521739130435,0.10185185185185185
CC(=O)N1CCC(Nc2nccc(-c3c[nH]c4c(CCO)ccc(O)c34)n2)CC1,RationaleRL_22,O=[CH:2]N1CCC(Nc2nccc(-c3c[nH]c4c3c(O)cc[cH:1]4)n2)CC1,-8.58822114050715,-8.73821394584876,395.4630000000002,2.2881,2.8305136703627465,0.5270082972779943,114.37,6,4,5,True,CHEMBL4546384,0.5891547432968618,CHEMBL245533,0.6270741315506745,0.13541666666666666,0.36046511627906974
COC(C)C(=O)N1CCC(Nc2nccc(-c3c[nH]c4cc(Br)c(C)cc34)n2)CC1,RationaleRL_23,O=[CH:1]N1CCC(Nc2nccc(-c3c[nH]c4cc(Br)[cH:2]cc34)n2)CC1,-8.10721497560059,-8.5950215698086,472.3870000000002,4.133620000000002,3.1450451579561918,0.5836580908165497,83.14,5,2,5,True,13892,0.6770974497967229,CHEMBL2425655,0.5912417104962269,0.21839080459770116,0.26136363636363635
Oc1cc(F)cc2[nH]cc(-c3ccnc(NC4CCN(C5=CC=C5)CC4)n3)c12,RationaleRL_24,Oc1c[cH:2]cc2[nH]cc(-c3ccnc(NC4CCN([CH2:3][CH3:1])CC4)n3)c12,-7.83502365731321,-8.87415348615218,377.4230000000002,3.7996000000000025,2.933169937825056,0.6447111466402388,77.07,5,3,4,True,CHEMBL407113,0.6176241226930075,CHEMBL245533,0.6752407501267106,0.15555555555555556,0.29213483146067415
